ID,Fan_area,Fan_perimeter,Fan_length,Fan_width,Form_facto_fan,Altura_max,Altura_min,Fan_relief,Fan_slope,Pendiente_media_abanico,Fan_profile_curvature,Fan_planform_curvature,Fan_ruggednes,Fan_ volume,Tipo_Abanico,Tipo_asentamiento,Poblado,Cordillera,Main_stream_order,Number_streams,Stream_length,Main_stream_ length,Stream_length_ratio,Bifurcation_ratio,Ro_Coefficient,Length_catchmen,Catchment_area,Catchment_perimeter,Form_factor,Elongation_ratio,Circularity_ratio,Compactness_coefficien,Texture_ratio,Fitness_ratio,Wandering_ratio,Stream_frequency,Drainage_density,Constant_channel_Maintenance,Drainage_intensity,Infiltration_numbe,Torrentiality_coefficient,Length_overland_flow,Catchment_relief,Slope_ catchment_channel,Mean_basin_slope,Relief_ratio,Ruggedness_number,Melton_index,Unidad_geologica,Litologia,Subzona_hidrografica,Catchment
80,0.500,4.657,1.486,0.959,0.226,0.569,0.46,0.109,7.3,7.205,0.005,-0.048,0.889,0.1696,AluvioTorrencial,Sin asentamientos,No,Occidental,8,390,63.94,8.63,1.890,3.110,0.610,6.52,15.86,25.03,0.373,0.689,0.318,1.786,7.791,0.345,1.324,24.590,4.032,0.248,6.099,99.136,12.295,0.124,1.878,21.761,27.292,0.288,11.455,0.472,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
81,0.046,1.074,0.300,0.339,0.507,0.495,0.451,0.044,14.7,10.752,0.305,-0.359,1.306,0.0138,AluvioTorrencial,Sin asentamientos,No,Central,4,229,18.076,7.111,1.210,1.638,0.738,7.322,14.896,24.215,0.278,0.595,0.319,1.782,4.728,0.294,0.971,15.373,1.213,0.824,12.669,18.655,7.687,0.412,2.005,28.196,31.214,0.274,25.401,0.519,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
82,0.061,1.287,0.390,0.360,0.401,0.493,0.45,0.043,11.0,7.967,0.087,-0.150,0.966,0.0176,AluvioTorrencial,Sin asentamientos,No,Central,4,129,25.197,5.686,1.250,1.053,1.186,5.171,7.769,17.643,0.291,0.608,0.314,1.798,3.656,0.322,1.100,16.604,3.243,0.308,5.120,53.853,8.302,0.154,1.508,26.521,27.098,0.292,7.720,0.541,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
83,0.196,2.167,0.678,0.517,0.427,0.524,0.452,0.072,10.6,13.075,0.079,-0.065,1.561,0.0511,Aluvial,Sin asentamientos,No,Central,6,3291,567.935,22.137,1.677,1.692,0.991,20.364,126.63,79.694,0.305,0.624,0.251,2.012,20.648,0.278,1.087,25.989,4.485,0.223,5.795,116.561,12.995,0.111,2.824,12.757,29.871,0.139,16.364,0.251,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
84,0.229,2.563,0.702,0.681,0.465,0.547,0.436,0.111,15.8,15.489,0.080,-0.165,1.879,0.0815,AluvioTorrencial,Sin asentamientos,No,Occidental,8,484,90.7,8.23,1.600,1.450,1.100,6.65,20.51,26.76,0.464,0.768,0.360,1.679,9.043,0.308,1.238,23.598,4.422,0.226,5.336,104.357,11.799,0.113,1.740,21.142,28.764,0.262,9.285,0.384,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
85,0.049,1.201,0.448,0.246,0.245,0.521,0.426,0.095,21.2,17.131,0.129,-0.400,2.045,0.0446,AluvioTorrencial,Sin asentamientos,No,Occidental,7,127,23.37,5.23,1.560,1.510,1.040,4.34,5.32,14.88,0.282,0.600,0.302,1.833,4.267,0.351,1.205,23.872,4.393,0.228,5.434,104.867,11.936,0.114,1.570,30.019,29.395,0.362,8.532,0.681,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
86,0.025,0.792,0.276,0.189,0.335,0.48,0.431,0.049,17.8,13.500,0.465,-0.616,1.596,0.0141,AluvioTorrencial,Sin asentamientos,No,Central,4,270,16.154,9.209,1.466,4.142,0.354,8.428,14.754,26.464,0.208,0.514,0.265,1.957,5.101,0.348,1.093,18.300,1.095,0.913,16.714,20.037,9.150,0.457,2.197,23.857,28.565,0.261,36.721,0.572,Grupo Cajamarca,Metamorfica Foliada,Rio Cauca,Torrential
87,0.058,1.399,0.258,0.452,0.876,0.465,0.417,0.048,18.6,13.877,0.229,-0.435,1.660,0.0130,AluvioTorrencial,Sin asentamientos,No,Central,5,330,26.478,16.642,1.517,2152.000,0.704,12.284,26.884,39.634,0.178,0.476,0.215,2.172,4.163,0.420,1.355,12.275,0.985,1.015,12.463,12.090,6.137,0.508,2.796,16.801,32.505,0.228,34.847,0.539,Batolito Sabanalarga,Ignea Plutonica,Rio Cauca,Torrential
88,0.420,4.382,1.178,1.276,0.302,0.602,0.419,0.183,15.5,15.239,-0.145,-0.070,1.908,0.2258,AluvioTorrencial,Sin asentamientos,No,Occidental,8,640,125.53,9.13,1.560,1.400,1.120,7.54,27.54,30.53,0.484,0.785,0.371,1.653,10.481,0.299,1.211,23.239,4.558,0.219,5.098,105.925,11.619,0.110,1.930,21.139,31.224,0.256,9.840,0.368,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
89,0.147,2.028,0.517,0.647,0.548,0.48,0.4,0.08,15.5,11.412,0.161,-0.200,1.390,0.0433,Aluvial,Sin asentamientos,No,Occidental,9,2944,563.71,17.56,2.030,1.530,1.330,15.62,127.12,65.62,0.521,0.814,0.371,1.653,22.432,0.268,1.124,23.159,4.434,0.226,5.223,102.699,11.580,0.113,2.510,14.294,29.877,0.161,13.109,0.223,Formacion Barroso,Ignea Volcanica ,Rio Cauca,Torrential
